NAME,TYPE,SUBTYPE,CR,SOURCE,LINK
Adult Red Dracolich,Undead,,17,TCE,https://5e.tools/bestiary.html#adult%20red%20dracolich_tce
Adult Red Dragon,Dragon,,17,MM,https://5e.tools/bestiary.html#adult%20red%20dragon_mm
Adult Sapphire Dragon,Dragon,,15,SADS,https://5e.tools/bestiary.html#adult%20sapphire%20dragon_sads
Adult Silver Dragon,Dragon,,16,MM,https://5e.tools/bestiary.html#adult%20silver%20dragon_mm
Adult White Dragon,Dragon,,13,MM,https://5e.tools/bestiary.html#adult%20white%20dragon_mm
Aeorian Absorber,Monstrosity,,10,EGW,https://5e.tools/bestiary.html#aeorian%20absorber_egw
Aeorian Nullifier,Monstrosity,,12,EGW,https://5e.tools/bestiary.html#aeorian%20nullifier_egw
Aeorian Reverser,Monstrosity,,8,EGW,https://5e.tools/bestiary.html#aeorian%20reverser_egw
Aerisi Kalinoth,Humanoid,elf,7,PotA,https://5e.tools/bestiary.html#aerisi%20kalinoth_pota
Ahmaergo,Humanoid,dwarf,9,WDH,https://5e.tools/bestiary.html#ahmaergo_wdh
Air Elemental,Elemental,,5,MM,https://5e.tools/bestiary.html#air%20elemental_mm
Air Elemental Myrmidon,Elemental,,7,MTF,https://5e.tools/bestiary.html#air%20elemental%20myrmidon_mtf
Akroan Hoplite,Humanoid,,3,MOT,https://5e.tools/bestiary.html#akroan%20hoplite_mot
Al'chaia,Humanoid,gith,8,WDMM,https://5e.tools/bestiary.html#al'chaia_wdmm
Alastrah,Giant,,0,SKT,https://5e.tools/bestiary.html#alastrah_skt
Albino Dwarf Spirit Warrior,Humanoid,dwarf,1,ToA,https://5e.tools/bestiary.html#albino%20dwarf%20spirit%20warrior_toa
Albino Dwarf Warrior,Humanoid,dwarf,1/4,ToA,https://5e.tools/bestiary.html#albino%20dwarf%20warrior_toa
Alchemical Homunculus,Construct,,—,UAAR,https://5e.tools/bestiary.html#alchemical%20homunculus_uaar
Aldani (Lobsterfolk),Monstrosity,,1,ToA,https://5e.tools/bestiary.html#aldani%20(lobsterfolk)_toa
Alhoon,Undead,,10,VGM,https://5e.tools/bestiary.html#alhoon_vgm
Aljanor Keenblade,Humanoid,human,3,OotA,https://5e.tools/bestiary.html#aljanor%20keenblade_oota
Alkilith,Fiend,demon,11,MTF,https://5e.tools/bestiary.html#alkilith_mtf
Allip,Undead,,5,MTF,https://5e.tools/bestiary.html#allip_mtf
Allosaurus,Beast,,2,MM,https://5e.tools/bestiary.html#allosaurus_mm
Allowak Abominable Yeti,Monstrosity,,9,EGW,https://5e.tools/bestiary.html#allowak%20abominable%20yeti_egw
Allowak Yeti,Monstrosity,,3,EGW,https://5e.tools/bestiary.html#allowak%20yeti_egw
Almiraj,Beast,,0,ToA,https://5e.tools/bestiary.html#almiraj_toa
Alseid,Fey,,1,MOT,https://5e.tools/bestiary.html#alseid_mot
Amarith Coppervein,Humanoid,dwarf,3,OotA,https://5e.tools/bestiary.html#amarith%20coppervein_oota
Amber Golem,Construct,,10,CoS,https://5e.tools/bestiary.html#amber%20golem_cos
Amble,Humanoid,tortle,10,LR,https://5e.tools/bestiary.html#amble_lr
Ambush Drake,Dragon,,1/2,HotDQ,https://5e.tools/bestiary.html#ambush%20drake_hotdq
Ammalia Cassalanter,Humanoid,human,5,WDH,https://5e.tools/bestiary.html#ammalia%20cassalanter_wdh
Ammit,Beast,,5,PSA,https://5e.tools/bestiary.html#ammit_psa
Amnizu,Fiend,devil,18,MTF,https://5e.tools/bestiary.html#amnizu_mtf
Amonkhet Dragon Wyrmling,Dragon,,4,PSA,https://5e.tools/bestiary.html#amonkhet%20dragon%20wyrmling_psa
Amonkhet Hydra,Monstrosity,,8,PSA,https://5e.tools/bestiary.html#amonkhet%20hydra_psa
Amonkhet Sphinx,Monstrosity,,17,PSA,https://5e.tools/bestiary.html#amonkhet%20sphinx_psa
Amphisbaena,Beast,,3,TftYP,https://5e.tools/bestiary.html#amphisbaena_tftyp
Amphisbaena,Monstrosity,,1/2,GoS,https://5e.tools/bestiary.html#amphisbaena_gos
Amrik Vanthampur,Humanoid,human,3,BGDIA,https://5e.tools/bestiary.html#amrik%20vanthampur_bgdia
Anarch,Humanoid,any race,1/4,GGR,https://5e.tools/bestiary.html#anarch_ggr
Anastrasya Karelova,Undead,,5,CoS,https://5e.tools/bestiary.html#anastrasya%20karelova_cos
Anchorite of Talos,Humanoid,"half-orc, shapechanger",3,DIP,https://5e.tools/bestiary.html#anchorite%20of%20talos_dip
Ancient Amonkhet Dragon,Dragon,,24,PSA,https://5e.tools/bestiary.html#ancient%20amonkhet%20dragon_psa
Ancient Black Dragon,Dragon,,21,MM,https://5e.tools/bestiary.html#ancient%20black%20dragon_mm
Ancient Blue Dragon,Dragon,,23,MM,https://5e.tools/bestiary.html#ancient%20blue%20dragon_mm
Ancient Brass Dragon,Dragon,,20,MM,https://5e.tools/bestiary.html#ancient%20brass%20dragon_mm
Ancient Bronze Dragon,Dragon,,22,MM,https://5e.tools/bestiary.html#ancient%20bronze%20dragon_mm
Ancient Copper Dragon,Dragon,,21,MM,https://5e.tools/bestiary.html#ancient%20copper%20dragon_mm
Ancient Deep Crow,Monstrosity,,15,AI,https://5e.tools/bestiary.html#ancient%20deep%20crow_ai
Ancient Gold Dragon,Dragon,,24,MM,https://5e.tools/bestiary.html#ancient%20gold%20dragon_mm
Ancient Green Dragon,Dragon,,22,MM,https://5e.tools/bestiary.html#ancient%20green%20dragon_mm
Ancient Red Dragon,Dragon,,24,MM,https://5e.tools/bestiary.html#ancient%20red%20dragon_mm
Ancient Silver Dragon,Dragon,,23,MM,https://5e.tools/bestiary.html#ancient%20silver%20dragon_mm
Ancient White Dragon,Dragon,,20,MM,https://5e.tools/bestiary.html#ancient%20white%20dragon_mm
Andras,Humanoid,any race,8,IMR,https://5e.tools/bestiary.html#andras_imr
Androsphinx,Monstrosity,,17,MM,https://5e.tools/bestiary.html#androsphinx_mm
Angel of Amonkhet,Celestial,,10,PSA,https://5e.tools/bestiary.html#angel%20of%20amonkhet_psa
Animated Armor,Construct,,1,MM,https://5e.tools/bestiary.html#animated%20armor_mm
Animated Ballista,Construct,,2,WDMM,https://5e.tools/bestiary.html#animated%20ballista_wdmm
Animated Broom,Construct,,1/4,CM,https://5e.tools/bestiary.html#animated%20broom_cm
Animated Chained Library,Construct,,1,CM,https://5e.tools/bestiary.html#animated%20chained%20library_cm
Animated Drow Statue,Elemental,,1,OotA,https://5e.tools/bestiary.html#animated%20drow%20statue_oota
Animated Halberd,Construct,,1/4,CoS,https://5e.tools/bestiary.html#animated%20halberd_cos
Animated Jade Serpent,Construct,,1/4,WDMM,https://5e.tools/bestiary.html#animated%20jade%20serpent_wdmm
Animated Knife,Construct,,1/8,EGW,https://5e.tools/bestiary.html#animated%20knife_egw
Animated Object (Huge),Construct,,—,PHB,https://5e.tools/bestiary.html#animated%20object%20(huge)_phb
Animated Object (Large),Construct,,—,PHB,https://5e.tools/bestiary.html#animated%20object%20(large)_phb
Animated Object (Medium),Construct,,—,PHB,https://5e.tools/bestiary.html#animated%20object%20(medium)_phb
Animated Object (Small),Construct,,—,PHB,https://5e.tools/bestiary.html#animated%20object%20(small)_phb
Animated Object (Tiny),Construct,,—,PHB,https://5e.tools/bestiary.html#animated%20object%20(tiny)_phb
Animated Staff,Construct,,—,WDMM,https://5e.tools/bestiary.html#animated%20staff_wdmm
Animated Statue of Lolth,Construct,,11,WDMM,https://5e.tools/bestiary.html#animated%20statue%20of%20lolth_wdmm
Animated Stove,Construct,,3,WDMM,https://5e.tools/bestiary.html#animated%20stove_wdmm
Animated Table,Construct,,2,TftYP,https://5e.tools/bestiary.html#animated%20table_tftyp
Animated Tile Chimera,Monstrosity,,6,RoT,https://5e.tools/bestiary.html#animated%20tile%20chimera_rot
Animated Tree,Plant,,9,EGW,https://5e.tools/bestiary.html#animated%20tree_egw
Animated Wand,Construct,,—,WDMM,https://5e.tools/bestiary.html#animated%20wand_wdmm
Ankheg,Monstrosity,,2,MM,https://5e.tools/bestiary.html#ankheg_mm
Ankylosaurus,Beast,,3,MM,https://5e.tools/bestiary.html#ankylosaurus_mm
Ankylosaurus Zombie,Undead,,3,ToA,https://5e.tools/bestiary.html#ankylosaurus%20zombie_toa
Annis Hag,Fey,,6,VGM,https://5e.tools/bestiary.html#annis%20hag_vgm
Anointed,Undead,,1/4,PSA,https://5e.tools/bestiary.html#anointed_psa
Anvilwrought Raptor,Construct,,1/2,MOT,https://5e.tools/bestiary.html#anvilwrought%20raptor_mot
Ape,Beast,,1/2,MM,https://5e.tools/bestiary.html#ape_mm
Aphemia,Monstrosity,,5,MOT,https://5e.tools/bestiary.html#aphemia_mot
Apprentice,Humanoid,,—,HoL,https://5e.tools/bestiary.html#apprentice_hol
Apprentice Wizard,Humanoid,any race,1/4,VGM,https://5e.tools/bestiary.html#apprentice%20wizard_vgm
Aquatic Ghoul,Undead,,1,PotA,https://5e.tools/bestiary.html#aquatic%20ghoul_pota
Aquatic Troll,Giant,,5,RoT,https://5e.tools/bestiary.html#aquatic%20troll_rot
Arabelle,Humanoid,human,0,CoS,https://5e.tools/bestiary.html#arabelle_cos
Arasta,Monstrosity,,21,MOT,https://5e.tools/bestiary.html#arasta_mot
Arcanaloth,Fiend,yugoloth,12,MM,https://5e.tools/bestiary.html#arcanaloth_mm
Archdruid,Humanoid,any race,12,VGM,https://5e.tools/bestiary.html#archdruid_vgm
Archduke Zariel of Avernus,Fiend,devil,26,BGDIA,https://5e.tools/bestiary.html#archduke%20zariel%20of%20avernus_bgdia
Archer,Humanoid,any race,3,VGM,https://5e.tools/bestiary.html#archer_vgm
Archfiend of Ifnir,Fiend,demon,13,PSA,https://5e.tools/bestiary.html#archfiend%20of%20ifnir_psa
Archmage,Humanoid,any race,12,MM,https://5e.tools/bestiary.html#archmage_mm
Archon of Falling Stars,Celestial,,12,MOT,https://5e.tools/bestiary.html#archon%20of%20falling%20stars_mot
Archon Of Redemption,Celestial,,10,PSZ,https://5e.tools/bestiary.html#archon%20of%20redemption_psz
Archon of the Triumvirate,Celestial,,14,GGR,https://5e.tools/bestiary.html#archon%20of%20the%20triumvirate_ggr
Arclight Phoenix,Elemental,,12,GGR,https://5e.tools/bestiary.html#arclight%20phoenix_ggr
Arcturia,Undead,,21,WDMM,https://5e.tools/bestiary.html#arcturia_wdmm
Arkhan the Cruel,Humanoid,dragonborn,16,BGDIA,https://5e.tools/bestiary.html#arkhan%20the%20cruel_bgdia
Armanite,Fiend,demon,7,MTF,https://5e.tools/bestiary.html#armanite_mtf
Armored Saber-Toothed Tiger,Beast,,3,CoS,https://5e.tools/bestiary.html#armored%20saber-toothed%20tiger_cos
Arrant Quill,Humanoid,human,11,CM,https://5e.tools/bestiary.html#arrant%20quill_cm
Arrigal,Humanoid,human,8,CoS,https://5e.tools/bestiary.html#arrigal_cos
Artus Cimber,Humanoid,human,7,ToA,https://5e.tools/bestiary.html#artus%20cimber_toa
Aruk Thundercaller Thuunlakalaga,Humanoid,goliath,3,IDRotF,https://5e.tools/bestiary.html#aruk%20thundercaller%20thuunlakalaga_idrotf
Ash Zombie,Undead,,1/4,LMoP,https://5e.tools/bestiary.html#ash%20zombie_lmop
Asharra,Humanoid,aarakocra,2,ToA,https://5e.tools/bestiary.html#asharra_toa
Ashdra,Humanoid,elf,0,TftYP,https://5e.tools/bestiary.html#ashdra_tftyp
Ashen Rider,Celestial,,16,MOT,https://5e.tools/bestiary.html#ashen%20rider_mot
Ashtyrranthor,Dragon,,17,WDMM,https://5e.tools/bestiary.html#ashtyrranthor_wdmm
Assassin,Humanoid,any race,8,MM,https://5e.tools/bestiary.html#assassin_mm
Assassin Bug,Monstrosity,,3,MFF,https://5e.tools/bestiary.html#assassin%20bug_mff
Assassin Vine,Plant,,3,ToA,https://5e.tools/bestiary.html#assassin%20vine_toa
Astral Dreadnought,Monstrosity,titan,21,MTF,https://5e.tools/bestiary.html#astral%20dreadnought_mtf
Atropal,Undead,titan,13,ToA,https://5e.tools/bestiary.html#atropal_toa
Augrek Brighthelm,Humanoid,shield dwarf,0,SKT,https://5e.tools/bestiary.html#augrek%20brighthelm_skt
Aurelia,Celestial,angel,23,GGR,https://5e.tools/bestiary.html#aurelia_ggr
Auril (First Form),Monstrosity,,9,IDRotF,https://5e.tools/bestiary.html#auril%20(first%20form)_idrotf
Auril (Second Form),Elemental,,10,IDRotF,https://5e.tools/bestiary.html#auril%20(second%20form)_idrotf
Auril (Third Form),Elemental,,11,IDRotF,https://5e.tools/bestiary.html#auril%20(third%20form)_idrotf
Aurinax,Dragon,,17,WDH,https://5e.tools/bestiary.html#aurinax_wdh
Aurochs,Beast,,2,VGM,https://5e.tools/bestiary.html#aurochs_vgm
Auspicia Dran,Humanoid,half-elf,2,AI,https://5e.tools/bestiary.html#auspicia%20dran_ai
Autumn Eladrin,Fey,elf,10,MTF,https://5e.tools/bestiary.html#autumn%20eladrin_mtf
Avarice,Humanoid,tiefling,7,IDRotF,https://5e.tools/bestiary.html#avarice_idrotf
Avatar of Death,Undead,,—,DMG,https://5e.tools/bestiary.html#avatar%20of%20death_dmg
Avi,Humanoid,Water genasi,2,WDH,https://5e.tools/bestiary.html#avi_wdh
Awakened Brown Bear,Beast,,1,WDMM,https://5e.tools/bestiary.html#awakened%20brown%20bear_wdmm
Awakened Elk,Beast,,1/4,WDMM,https://5e.tools/bestiary.html#awakened%20elk_wdmm
Awakened Giant Wasp,Beast,,1/2,WDMM,https://5e.tools/bestiary.html#awakened%20giant%20wasp_wdmm
Awakened Rat,Beast,,0,WDH,https://5e.tools/bestiary.html#awakened%20rat_wdh
Awakened Shrub,Plant,,0,MM,https://5e.tools/bestiary.html#awakened%20shrub_mm
Awakened Tree,Plant,,2,MM,https://5e.tools/bestiary.html#awakened%20tree_mm
Awakened White Moose,Beast,,3,IDRotF,https://5e.tools/bestiary.html#awakened%20white%20moose_idrotf
Awakened Zurkhwood,Plant,,2,OotA,https://5e.tools/bestiary.html#awakened%20zurkhwood_oota
Axe Beak,Beast,,1/4,MM,https://5e.tools/bestiary.html#axe%20beak_mm
Axe of Mirabar Soldier,Humanoid,dwarf,3,SKT,https://5e.tools/bestiary.html#axe%20of%20mirabar%20soldier_skt
Azaka Stormfang,Humanoid,"human, shapechanger",4,ToA,https://5e.tools/bestiary.html#azaka%20stormfang_toa
Azbara Jos,Humanoid,human,4,HotDQ,https://5e.tools/bestiary.html#azbara%20jos_hotdq
Azer,Elemental,,2,MM,https://5e.tools/bestiary.html#azer_mm
Baba Lysaga,Humanoid,"human, shapechanger",11,CoS,https://5e.tools/bestiary.html#baba%20lysaga_cos
Baba Lysaga's Creeping Hut,Construct,,11,CoS,https://5e.tools/bestiary.html#baba%20lysaga's%20creeping%20hut_cos
Babau,Fiend,demon,4,VGM,https://5e.tools/bestiary.html#babau_vgm
Baboon,Beast,,0,MM,https://5e.tools/bestiary.html#baboon_mm
Badger,Beast,,0,MM,https://5e.tools/bestiary.html#badger_mm
Bael,Fiend,devil,19,MTF,https://5e.tools/bestiary.html#bael_mtf
Bag of Nails,Humanoid,tabaxi,8,ToA,https://5e.tools/bestiary.html#bag%20of%20nails_toa
Bak Mei,Humanoid,human,13,CM,https://5e.tools/bestiary.html#bak%20mei_cm
Balhannoth,Aberration,,11,MTF,https://5e.tools/bestiary.html#balhannoth_mtf
Balor,Fiend,demon,19,MM,https://5e.tools/bestiary.html#balor_mm
Bandagh,Humanoid,orc,1/2,TftYP,https://5e.tools/bestiary.html#bandagh_tftyp
Banderhobb,Monstrosity,,5,VGM,https://5e.tools/bestiary.html#banderhobb_vgm
Bandit,Humanoid,any race,1/8,MM,https://5e.tools/bestiary.html#bandit_mm
Bandit Captain,Humanoid,any race,2,MM,https://5e.tools/bestiary.html#bandit%20captain_mm
Banshee,Undead,,4,MM,https://5e.tools/bestiary.html#banshee_mm
Baphomet,Fiend,demon,23,MTF,https://5e.tools/bestiary.html#baphomet_mtf
Barbatos,Humanoid,human,6,IMR,https://5e.tools/bestiary.html#barbatos_imr
Barbed Devil,Fiend,devil,5,MM,https://5e.tools/bestiary.html#barbed%20devil_mm
Bard,Humanoid,any race,2,VGM,https://5e.tools/bestiary.html#bard_vgm
Barghest,Fiend,shapechanger,4,VGM,https://5e.tools/bestiary.html#barghest_vgm
Barlgura,Fiend,demon,5,MM,https://5e.tools/bestiary.html#barlgura_mm
Barnacle Bess,Beast,,1/8,GoS,https://5e.tools/bestiary.html#barnacle%20bess_gos
Barnibus Blastwind,Humanoid,human,2,WDH,https://5e.tools/bestiary.html#barnibus%20blastwind_wdh
Baron Vargas Vallakovich,Humanoid,human,1/8,CoS,https://5e.tools/bestiary.html#baron%20vargas%20vallakovich_cos
Barovian Commoner,Humanoid,any race,0,CoS,https://5e.tools/bestiary.html#barovian%20commoner_cos
Barovian Scout,Humanoid,any race,1/2,CoS,https://5e.tools/bestiary.html#barovian%20scout_cos
Barovian Witch,Humanoid,human,1/2,CoS,https://5e.tools/bestiary.html#barovian%20witch_cos
Basilisk,Monstrosity,,3,MM,https://5e.tools/bestiary.html#basilisk_mm
Bastian Thermandar,Humanoid,fire genasi,8,PotA,https://5e.tools/bestiary.html#bastian%20thermandar_pota
Bat,Beast,,0,MM,https://5e.tools/bestiary.html#bat_mm
Battleforce Angel,Celestial,,5,GGR,https://5e.tools/bestiary.html#battleforce%20angel_ggr
Battlehammer Dwarf,Humanoid,dwarf,1/2,IDRotF,https://5e.tools/bestiary.html#battlehammer%20dwarf_idrotf
Bearded Devil,Fiend,devil,3,MM,https://5e.tools/bestiary.html#bearded%20devil_mm
Beast of the Air,Beast,,—,UACFV,https://5e.tools/bestiary.html#beast%20of%20the%20air_uacfv
Beast of the Earth,Beast,,—,UACFV,https://5e.tools/bestiary.html#beast%20of%20the%20earth_uacfv
Beast of the Land,Beast,,—,TCE,https://5e.tools/bestiary.html#beast%20of%20the%20land_tce
Beast of the Sea,Beast,,—,TCE,https://5e.tools/bestiary.html#beast%20of%20the%20sea_tce
Beast of the Sky,Beast,,—,TCE,https://5e.tools/bestiary.html#beast%20of%20the%20sky_tce
Behir,Monstrosity,,11,MM,https://5e.tools/bestiary.html#behir_mm
Beholder,Aberration,,13,MM,https://5e.tools/bestiary.html#beholder_mm
Beholder Zombie,Undead,,5,MM,https://5e.tools/bestiary.html#beholder%20zombie_mm
Bel,Fiend,devil,25,BGDIA,https://5e.tools/bestiary.html#bel_bgdia
Belak the Outcast,Humanoid,human,2,TftYP,https://5e.tools/bestiary.html#belak%20the%20outcast_tftyp
Belashyrra,Aberration,,22,ERLW,https://5e.tools/bestiary.html#belashyrra_erlw
Beldora,Humanoid,Illuskan human,0,SKT,https://5e.tools/bestiary.html#beldora_skt
Bepis Honeymaker,Humanoid,Strongheart halfling,0,WDH,https://5e.tools/bestiary.html#bepis%20honeymaker_wdh
Berbalang,Aberration,,2,MTF,https://5e.tools/bestiary.html#berbalang_mtf
Berlain Shadowdusk,Aberration,,12,WDMM,https://5e.tools/bestiary.html#berlain%20shadowdusk_wdmm
Berserker,Humanoid,any race,2,MM,https://5e.tools/bestiary.html#berserker_mm
Bestial Spirit,Beast,,—,TCE,https://5e.tools/bestiary.html#bestial%20spirit_tce
Bestial Spirit,Beast,,—,UA20SMT,https://5e.tools/bestiary.html#bestial%20spirit_ua20smt
Beucephalus,Fiend,,3,CoS,https://5e.tools/bestiary.html#beucephalus_cos
Bheur Hag,Fey,,7,VGM,https://5e.tools/bestiary.html#bheur%20hag_vgm
Big Xorn,Elemental,,8,WDMM,https://5e.tools/bestiary.html#big%20xorn_wdmm
Billy Beaver,Construct,,3,RMBRE,https://5e.tools/bestiary.html#billy%20beaver_rmbre
Biomancer,Humanoid,any race,10,GGR,https://5e.tools/bestiary.html#biomancer_ggr
Bitter Breath,Fiend,devil,11,BGDIA,https://5e.tools/bestiary.html#bitter%20breath_bgdia
Bjornhild Solvigsdottir,Humanoid,human,5,IDRotF,https://5e.tools/bestiary.html#bjornhild%20solvigsdottir_idrotf
Black Abishai,Fiend,devil,7,MTF,https://5e.tools/bestiary.html#black%20abishai_mtf
Black Bear,Beast,,1/2,MM,https://5e.tools/bestiary.html#black%20bear_mm
Black Dragon Wyrmling,Dragon,,2,MM,https://5e.tools/bestiary.html#black%20dragon%20wyrmling_mm
Black Earth Guard,Humanoid,human,2,PotA,https://5e.tools/bestiary.html#black%20earth%20guard_pota
Black Earth Priest,Humanoid,human,3,PotA,https://5e.tools/bestiary.html#black%20earth%20priest_pota
Black Gauntlet of Bane,Humanoid,human,6,BGDIA,https://5e.tools/bestiary.html#black%20gauntlet%20of%20bane_bgdia
Black Guard Drake,Dragon,,2,VGM,https://5e.tools/bestiary.html#black%20guard%20drake_vgm
Black Pudding,Ooze,,4,MM,https://5e.tools/bestiary.html#black%20pudding_mm
Black Viper,Humanoid,human,5,WDH,https://5e.tools/bestiary.html#black%20viper_wdh
Blackguard,Humanoid,any race,8,VGM,https://5e.tools/bestiary.html#blackguard_vgm
Blagothkus,Giant,cloud giant,9,HotDQ,https://5e.tools/bestiary.html#blagothkus_hotdq
Blind Artist,Undead,,0,ToA,https://5e.tools/bestiary.html#blind%20artist_toa
Blinded Troll,Giant,,4,WDH,https://5e.tools/bestiary.html#blinded%20troll_wdh
Blindheim,Humanoid,blindheim,2,MFF,https://5e.tools/bestiary.html#blindheim_mff
Blink Dog,Fey,,1/4,MM,https://5e.tools/bestiary.html#blink%20dog_mm
Blistercoil Weird,Elemental,,4,GGR,https://5e.tools/bestiary.html#blistercoil%20weird_ggr
Blood Drinker Vampire,Undead,,8,GGR,https://5e.tools/bestiary.html#blood%20drinker%20vampire_ggr
Blood Hawk,Beast,,1/8,MM,https://5e.tools/bestiary.html#blood%20hawk_mm
Blood Hunter,Humanoid,any race,5,EGW,https://5e.tools/bestiary.html#blood%20hunter_egw
Blood Witch,Humanoid,any race,7,GGR,https://5e.tools/bestiary.html#blood%20witch_ggr
Blood-Toll Harpy,Monstrosity,,1/8,MOT,https://5e.tools/bestiary.html#blood-toll%20harpy_mot
Bloodfray Giant,Giant,,6,GGR,https://5e.tools/bestiary.html#bloodfray%20giant_ggr
Blue Abishai,Fiend,devil,17,MTF,https://5e.tools/bestiary.html#blue%20abishai_mtf
Blue Dragon Wyrmling,Dragon,,3,MM,https://5e.tools/bestiary.html#blue%20dragon%20wyrmling_mm
Blue Guard Drake,Dragon,,2,VGM,https://5e.tools/bestiary.html#blue%20guard%20drake_vgm
Blue Slaad,Aberration,,7,MM,https://5e.tools/bestiary.html#blue%20slaad_mm
Blurg,Humanoid,orc,2,OotA,https://5e.tools/bestiary.html#blurg_oota
Bluto Krogarov,Humanoid,human,0,CoS,https://5e.tools/bestiary.html#bluto%20krogarov_cos
Boar,Beast,,1/4,MM,https://5e.tools/bestiary.html#boar_mm
Bodak,Undead,,6,VGM,https://5e.tools/bestiary.html#bodak_vgm
Bodytaker Plant,Plant,,7,VRGR,https://5e.tools/bestiary.html#bodytaker%20plant_vrgr
Boggle,Fey,,1/8,VGM,https://5e.tools/bestiary.html#boggle_vgm
Bol'bara,Humanoid,goblinoid,3,EGW,https://5e.tools/bestiary.html#bol'bara_egw
Bone Devil,Fiend,devil,9,MM,https://5e.tools/bestiary.html#bone%20devil_mm
Bone Knight,Humanoid,any race,5,ERLW,https://5e.tools/bestiary.html#bone%20knight_erlw
Bone Naga (Guardian),Undead,,4,MM,https://5e.tools/bestiary.html#bone%20naga%20(guardian)_mm
Bone Naga (Spirit),Undead,,4,MM,https://5e.tools/bestiary.html#bone%20naga%20(spirit)_mm
Bone Whelk,Monstrosity,,1/4,BGDIA,https://5e.tools/bestiary.html#bone%20whelk_bgdia
Boneclaw,Undead,,12,MTF,https://5e.tools/bestiary.html#boneclaw_mtf
Boneless,Undead,,1,VRGR,https://5e.tools/bestiary.html#boneless_vrgr
Bonnie,Monstrosity,shapechanger,4,WDH,https://5e.tools/bestiary.html#bonnie_wdh
Booyahg Booyahg Booyahg,Humanoid,goblinoid,6,VGM,https://5e.tools/bestiary.html#booyahg%20booyahg%20booyahg_vgm
Booyahg Caster,Humanoid,goblinoid,1/4,VGM,https://5e.tools/bestiary.html#booyahg%20caster_vgm
Booyahg Slave of the Archfey,Humanoid,goblinoid,4,VGM,https://5e.tools/bestiary.html#booyahg%20slave%20of%20the%20archfey_vgm
Booyahg Slave of the Fiend,Humanoid,goblinoid,7,VGM,https://5e.tools/bestiary.html#booyahg%20slave%20of%20the%20fiend_vgm
Booyahg Slave of the Great Old One,Humanoid,goblinoid,6,VGM,https://5e.tools/bestiary.html#booyahg%20slave%20of%20the%20great%20old%20one_vgm
Booyahg Whip,Humanoid,goblinoid,1/4,VGM,https://5e.tools/bestiary.html#booyahg%20whip_vgm
Booyahg Wielder,Humanoid,goblinoid,1/4,VGM,https://5e.tools/bestiary.html#booyahg%20wielder_vgm
Borborygmos,Giant,,18,GGR,https://5e.tools/bestiary.html#borborygmos_ggr
Bore Worm,Construct,,16,WDMM,https://5e.tools/bestiary.html#bore%20worm_wdmm
Bosco Daggerhand,Humanoid,human,1/2,ToA,https://5e.tools/bestiary.html#bosco%20daggerhand_toa
