NAME,TYPE,WEIGHT,ATTUNEMENT,RARITY,SOURCE,LINK
 +1 Modern Bullet,"Modern, Ammunition",1.6 oz.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20modern%20bullet_dmg
 +1 Moon Sickle,"Simple Weapon, Melee Weapon",2 lb.,Y,Uncommon,TCE,https://5e.tools/items.html#%2b1%20moon%20sickle_tce
 +1 Morningstar,"Martial Weapon, Melee Weapon",4 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20morningstar_dmg
 +1 Musket,"Firearm, Renaissance, Martial Weapon, Ranged Weapon",10 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20musket_dmg
 +1 Net,"Martial Weapon, Ranged Weapon",3 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20net_dmg
 +1 Padded Armor,Light Armor,8 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b1%20padded%20armor_dmg
 +1 Pike,"Martial Weapon, Melee Weapon",18 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20pike_dmg
 +1 Pistol,"Firearm, Renaissance, Martial Weapon, Ranged Weapon",3 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20pistol_dmg
 +1 Plate Armor,Heavy Armor,65 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b1%20plate%20armor_dmg
 +1 Quarterstaff,"Simple Weapon, Melee Weapon",4 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20quarterstaff_dmg
 +1 Rapier,"Martial Weapon, Melee Weapon",2 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20rapier_dmg
 +1 Renaissance Bullet,"Renaissance, Ammunition",3.2 oz.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20renaissance%20bullet_dmg
 +1 Revolver,"Firearm, Modern, Martial Weapon, Ranged Weapon",3 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20revolver_dmg
 +1 Rhythm-Maker's Drum,"Wondrous Item, Instrument",3 lb.,Y,Uncommon,TCE,https://5e.tools/items.html#%2b1%20rhythm-maker's%20drum_tce
 +1 Ring Mail,Heavy Armor,40 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b1%20ring%20mail_dmg
 +1 Rod of the Pact Keeper,Rod,2 lb.,Y,Uncommon,DMG,https://5e.tools/items.html#%2b1%20rod%20of%20the%20pact%20keeper_dmg
 +1 Scale Mail,Medium Armor,45 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b1%20scale%20mail_dmg
 +1 Scimitar,"Martial Weapon, Melee Weapon",3 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20scimitar_dmg
 +1 Shield,Shield,6 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20shield_dmg
 +1 Shield (*),Generic Variant,—,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20shield%20(*)_dmg
 +1 Shortbow,"Simple Weapon, Ranged Weapon",2 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20shortbow_dmg
 +1 Shortsword,"Martial Weapon, Melee Weapon",2 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20shortsword_dmg
 +1 Shotgun,"Firearm, Modern, Martial Weapon, Ranged Weapon",7 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20shotgun_dmg
 +1 Sickle,"Simple Weapon, Melee Weapon",2 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20sickle_dmg
 +1 Sling,"Simple Weapon, Ranged Weapon",—,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20sling_dmg
 +1 Sling Bullet,Ammunition,1.2 oz.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20sling%20bullet_dmg
 +1 Spear,"Simple Weapon, Melee Weapon",3 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20spear_dmg
 +1 Spiked Armor,Medium Armor,45 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b1%20spiked%20armor_dmg
 +1 Splint Armor,Heavy Armor,60 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b1%20splint%20armor_dmg
 +1 Studded Leather Armor,Light Armor,13 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b1%20studded%20leather%20armor_dmg
 +1 Trident,"Martial Weapon, Melee Weapon",4 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20trident_dmg
 +1 Wand of the War Mage,Wand,1 lb.,Y,Uncommon,DMG,https://5e.tools/items.html#%2b1%20wand%20of%20the%20war%20mage_dmg
 +1 War Pick,"Martial Weapon, Melee Weapon",2 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20war%20pick_dmg
 +1 Warhammer,"Martial Weapon, Melee Weapon",2 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20warhammer_dmg
 +1 Weapon,Generic Variant,—,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20weapon_dmg
 +1 Weapon (no damage),Generic Variant,—,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20weapon%20(no%20damage)_dmg
 +1 Whip,"Martial Weapon, Melee Weapon",3 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20whip_dmg
 +1 Yklwa,"Simple Weapon, Melee Weapon",3 lb.,N,Uncommon,DMG,https://5e.tools/items.html#%2b1%20yklwa_dmg
 +2 All-Purpose Tool,Wondrous Item,—,Y,Rare,TCE,https://5e.tools/items.html#%2b2%20all-purpose%20tool_tce
 +2 Ammunition,"Ammunition, Generic Variant",—,N,Rare,DMG,https://5e.tools/items.html#%2b2%20ammunition_dmg
 +2 Amulet of the Devout,Wondrous Item,1 lb.,Y,Rare,TCE,https://5e.tools/items.html#%2b2%20amulet%20of%20the%20devout_tce
 +2 Antimatter Rifle,"Firearm, Futuristic, Martial Weapon, Ranged Weapon",10 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20antimatter%20rifle_dmg
 +2 Arcane Grimoire,Wondrous Item,3 lb.,Y,Rare,TCE,https://5e.tools/items.html#%2b2%20arcane%20grimoire_tce
 +2 Armor,Generic Variant,—,N,Very Rare,DMG,https://5e.tools/items.html#%2b2%20armor_dmg
 +2 Arrow,Ammunition,0.8 oz.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20arrow_dmg
 +2 Automatic Pistol,"Firearm, Modern, Martial Weapon, Ranged Weapon",3 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20automatic%20pistol_dmg
 +2 Automatic Rifle,"Firearm, Modern, Martial Weapon, Ranged Weapon",8 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20automatic%20rifle_dmg
 +2 Battleaxe,"Martial Weapon, Melee Weapon",4 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20battleaxe_dmg
 +2 Bloodwell Vial,Wondrous Item,0.16 oz.,Y,Rare,TCE,https://5e.tools/items.html#%2b2%20bloodwell%20vial_tce
 +2 Blowgun,"Martial Weapon, Ranged Weapon",1 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20blowgun_dmg
 +2 Blowgun Needle,Ammunition,0.32 oz.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20blowgun%20needle_dmg
 +2 Breastplate,Medium Armor,20 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b2%20breastplate_dmg
 +2 Chain Mail,Heavy Armor,55 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b2%20chain%20mail_dmg
 +2 Chain Shirt,Medium Armor,20 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b2%20chain%20shirt_dmg
 +2 Club,"Simple Weapon, Melee Weapon",2 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20club_dmg
 +2 Crossbow Bolt,Ammunition,1.2 oz.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20crossbow%20bolt_dmg
 +2 Dagger,"Simple Weapon, Melee Weapon",1 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20dagger_dmg
 +2 Dart,"Simple Weapon, Ranged Weapon",¼ lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20dart_dmg
 +2 Double-Bladed Scimitar,"Martial Weapon, Melee Weapon",6 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20double-bladed%20scimitar_dmg
 +2 Energy Cell,"Futuristic, Ammunition",5 oz.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20energy%20cell_dmg
 +2 Flail,"Martial Weapon, Melee Weapon",2 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20flail_dmg
 +2 Glaive,"Martial Weapon, Melee Weapon",6 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20glaive_dmg
 +2 Greataxe,"Martial Weapon, Melee Weapon",7 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20greataxe_dmg
 +2 Greatclub,"Simple Weapon, Melee Weapon",10 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20greatclub_dmg
 +2 Greatsword,"Martial Weapon, Melee Weapon",6 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20greatsword_dmg
 +2 Halberd,"Martial Weapon, Melee Weapon",6 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20halberd_dmg
 +2 Half Plate Armor,Medium Armor,40 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b2%20half%20plate%20armor_dmg
 +2 Hand Crossbow,"Martial Weapon, Ranged Weapon",3 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20hand%20crossbow_dmg
 +2 Handaxe,"Simple Weapon, Melee Weapon",2 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20handaxe_dmg
 +2 Heavy Crossbow,"Martial Weapon, Ranged Weapon",18 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20heavy%20crossbow_dmg
 +2 Hide Armor,Medium Armor,12 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b2%20hide%20armor_dmg
 +2 Hooked Shortspear,"Martial Weapon, Melee Weapon",2 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20hooked%20shortspear_dmg
 +2 Hunting Rifle,"Firearm, Modern, Martial Weapon, Ranged Weapon",8 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20hunting%20rifle_dmg
 +2 Javelin,"Simple Weapon, Melee Weapon",2 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20javelin_dmg
 +2 Lance,"Martial Weapon, Melee Weapon",6 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20lance_dmg
 +2 Laser Pistol,"Firearm, Futuristic, Martial Weapon, Ranged Weapon",2 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20laser%20pistol_dmg
 +2 Laser Rifle,"Firearm, Futuristic, Martial Weapon, Ranged Weapon",7 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20laser%20rifle_dmg
 +2 Leather Armor,Light Armor,10 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b2%20leather%20armor_dmg
 +2 Light Crossbow,"Simple Weapon, Ranged Weapon",5 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20light%20crossbow_dmg
 +2 Light Hammer,"Simple Weapon, Melee Weapon",2 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20light%20hammer_dmg
 +2 Light Repeating Crossbow,"Simple Weapon, Ranged Weapon",5 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20light%20repeating%20crossbow_dmg
 +2 Longbow,"Martial Weapon, Ranged Weapon",2 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20longbow_dmg
 +2 Longsword,"Martial Weapon, Melee Weapon",3 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20longsword_dmg
 +2 Mace,"Simple Weapon, Melee Weapon",4 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20mace_dmg
 +2 Maul,"Martial Weapon, Melee Weapon",10 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20maul_dmg
 +2 Modern Bullet,"Modern, Ammunition",1.6 oz.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20modern%20bullet_dmg
 +2 Moon Sickle,"Simple Weapon, Melee Weapon",2 lb.,Y,Rare,TCE,https://5e.tools/items.html#%2b2%20moon%20sickle_tce
 +2 Morningstar,"Martial Weapon, Melee Weapon",4 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20morningstar_dmg
 +2 Musket,"Firearm, Renaissance, Martial Weapon, Ranged Weapon",10 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20musket_dmg
 +2 Net,"Martial Weapon, Ranged Weapon",3 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20net_dmg
 +2 Padded Armor,Light Armor,8 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b2%20padded%20armor_dmg
 +2 Pike,"Martial Weapon, Melee Weapon",18 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20pike_dmg
 +2 Pistol,"Firearm, Renaissance, Martial Weapon, Ranged Weapon",3 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20pistol_dmg
 +2 Plate Armor,Heavy Armor,65 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b2%20plate%20armor_dmg
 +2 Quarterstaff,"Simple Weapon, Melee Weapon",4 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20quarterstaff_dmg
 +2 Rapier,"Martial Weapon, Melee Weapon",2 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20rapier_dmg
 +2 Renaissance Bullet,"Renaissance, Ammunition",3.2 oz.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20renaissance%20bullet_dmg
 +2 Revolver,"Firearm, Modern, Martial Weapon, Ranged Weapon",3 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20revolver_dmg
 +2 Rhythm-Maker's Drum,"Wondrous Item, Instrument",3 lb.,Y,Rare,TCE,https://5e.tools/items.html#%2b2%20rhythm-maker's%20drum_tce
 +2 Ring Mail,Heavy Armor,40 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b2%20ring%20mail_dmg
 +2 Rod of the Pact Keeper,Rod,2 lb.,Y,Rare,DMG,https://5e.tools/items.html#%2b2%20rod%20of%20the%20pact%20keeper_dmg
 +2 Scale Mail,Medium Armor,45 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b2%20scale%20mail_dmg
 +2 Scimitar,"Martial Weapon, Melee Weapon",3 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20scimitar_dmg
 +2 Shield,Shield,6 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20shield_dmg
 +2 Shield (*),Generic Variant,—,N,Rare,DMG,https://5e.tools/items.html#%2b2%20shield%20(*)_dmg
 +2 Shortbow,"Simple Weapon, Ranged Weapon",2 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20shortbow_dmg
 +2 Shortsword,"Martial Weapon, Melee Weapon",2 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20shortsword_dmg
 +2 Shotgun,"Firearm, Modern, Martial Weapon, Ranged Weapon",7 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20shotgun_dmg
 +2 Sickle,"Simple Weapon, Melee Weapon",2 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20sickle_dmg
 +2 Sling,"Simple Weapon, Ranged Weapon",—,N,Rare,DMG,https://5e.tools/items.html#%2b2%20sling_dmg
 +2 Sling Bullet,Ammunition,1.2 oz.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20sling%20bullet_dmg
 +2 Spear,"Simple Weapon, Melee Weapon",3 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20spear_dmg
 +2 Spiked Armor,Medium Armor,45 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b2%20spiked%20armor_dmg
 +2 Splint Armor,Heavy Armor,60 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b2%20splint%20armor_dmg
 +2 Studded Leather Armor,Light Armor,13 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b2%20studded%20leather%20armor_dmg
 +2 Trident,"Martial Weapon, Melee Weapon",4 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20trident_dmg
 +2 Wand of the War Mage,Wand,1 lb.,Y,Rare,DMG,https://5e.tools/items.html#%2b2%20wand%20of%20the%20war%20mage_dmg
 +2 War Pick,"Martial Weapon, Melee Weapon",2 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20war%20pick_dmg
 +2 Warhammer,"Martial Weapon, Melee Weapon",2 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20warhammer_dmg
 +2 Weapon,Generic Variant,—,N,Rare,DMG,https://5e.tools/items.html#%2b2%20weapon_dmg
 +2 Weapon (no damage),Generic Variant,—,N,Rare,DMG,https://5e.tools/items.html#%2b2%20weapon%20(no%20damage)_dmg
 +2 Whip,"Martial Weapon, Melee Weapon",3 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20whip_dmg
 +2 Yklwa,"Simple Weapon, Melee Weapon",3 lb.,N,Rare,DMG,https://5e.tools/items.html#%2b2%20yklwa_dmg
 +3 All-Purpose Tool,Wondrous Item,—,Y,Very Rare,TCE,https://5e.tools/items.html#%2b3%20all-purpose%20tool_tce
 +3 Ammunition,"Ammunition, Generic Variant",—,N,Very Rare,DMG,https://5e.tools/items.html#%2b3%20ammunition_dmg
 +3 Amulet of the Devout,Wondrous Item,1 lb.,Y,Very Rare,TCE,https://5e.tools/items.html#%2b3%20amulet%20of%20the%20devout_tce
 +3 Antimatter Rifle,"Firearm, Futuristic, Martial Weapon, Ranged Weapon",10 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b3%20antimatter%20rifle_dmg
 +3 Arcane Grimoire,Wondrous Item,3 lb.,Y,Very Rare,TCE,https://5e.tools/items.html#%2b3%20arcane%20grimoire_tce
 +3 Armor,Generic Variant,—,N,Legendary,DMG,https://5e.tools/items.html#%2b3%20armor_dmg
 +3 Arrow,Ammunition,0.8 oz.,N,Very Rare,DMG,https://5e.tools/items.html#%2b3%20arrow_dmg
 +3 Automatic Pistol,"Firearm, Modern, Martial Weapon, Ranged Weapon",3 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b3%20automatic%20pistol_dmg
 +3 Automatic Rifle,"Firearm, Modern, Martial Weapon, Ranged Weapon",8 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b3%20automatic%20rifle_dmg
 +3 Battleaxe,"Martial Weapon, Melee Weapon",4 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b3%20battleaxe_dmg
 +3 Bloodwell Vial,Wondrous Item,0.16 oz.,Y,Very Rare,TCE,https://5e.tools/items.html#%2b3%20bloodwell%20vial_tce
 +3 Blowgun,"Martial Weapon, Ranged Weapon",1 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b3%20blowgun_dmg
 +3 Blowgun Needle,Ammunition,0.32 oz.,N,Very Rare,DMG,https://5e.tools/items.html#%2b3%20blowgun%20needle_dmg
 +3 Breastplate,Medium Armor,20 lb.,N,Legendary,DMG,https://5e.tools/items.html#%2b3%20breastplate_dmg
 +3 Chain Mail,Heavy Armor,55 lb.,N,Legendary,DMG,https://5e.tools/items.html#%2b3%20chain%20mail_dmg
 +3 Chain Shirt,Medium Armor,20 lb.,N,Legendary,DMG,https://5e.tools/items.html#%2b3%20chain%20shirt_dmg
 +3 Club,"Simple Weapon, Melee Weapon",2 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b3%20club_dmg
 +3 Crossbow Bolt,Ammunition,1.2 oz.,N,Very Rare,DMG,https://5e.tools/items.html#%2b3%20crossbow%20bolt_dmg
 +3 Dagger,"Simple Weapon, Melee Weapon",1 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b3%20dagger_dmg
 +3 Dart,"Simple Weapon, Ranged Weapon",¼ lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b3%20dart_dmg
 +3 Double-Bladed Scimitar,"Martial Weapon, Melee Weapon",6 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b3%20double-bladed%20scimitar_dmg
 +3 Energy Cell,"Futuristic, Ammunition",5 oz.,N,Very Rare,DMG,https://5e.tools/items.html#%2b3%20energy%20cell_dmg
 +3 Flail,"Martial Weapon, Melee Weapon",2 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b3%20flail_dmg
 +3 Glaive,"Martial Weapon, Melee Weapon",6 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b3%20glaive_dmg
 +3 Greataxe,"Martial Weapon, Melee Weapon",7 lb.,N,Very Rare,DMG,https://5e.tools/items.html#%2b3%20greataxe_dmg
